
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.446
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.4.self_attn/aten::cat/Concat_2                                                          0.017
Multiply_44196                                                                                                0.022
Clamp_44198                                                                                                   0.000
Convert_44199                                                                                                 0.021
Convert_44200                                                                                                 0.023
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.022
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.006
Broadcast_36543                                                                                               0.048
Broadcast_36543_f32_bf16___module.model.layers.4.self_attn/aten::expand/Broadcast                             0.055
__module.model.layers.4.self_attn/aten::expand/Broadcast                                                      0.073
__module.model.layers.4.self_attn/aten::reshape/Reshape                                                       0.007
MatMul_31379                                                                                                  0.139
Add_31381                                                                                                     0.093
Softmax_31382                                                                                                 0.356
Gather_49778                                                                                                  0.007
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.418
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.024
__module.model.layers.4.self_attn/aten::cat/Concat_3                                                          0.018
Multiply_44205                                                                                                0.024
Clamp_44207                                                                                                   0.000
Convert_44208                                                                                                 0.020
Convert_44209                                                                                                 0.021
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.020
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_36549                                                                                               0.047
Broadcast_36549_f32_bf16___module.model.layers.4.self_attn/aten::expand/Broadcast_1                           0.052
__module.model.layers.4.self_attn/aten::expand/Broadcast_1                                                    0.071
__module.model.layers.4.self_attn/aten::reshape/Reshape_1                                                     0.007
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.133
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.036
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.4.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.045
Multiply_44214                                                                                                0.000
Clamp_44216                                                                                                   0.000
Convert_44217                                                                                                 0.058
Convert_44218                                                                                                 0.067
__module.model.layers.4.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fc_output_0                   0.045
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.352
__module.model.layers.4/aten::add/Add                                                                         0.054
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.048
Multiply_44223                                                                                                0.071
Clamp_44225                                                                                                   0.000
Convert_44226                                                                                                 0.059
Convert_44227                                                                                                 0.062
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0          0.045
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   5.470
