
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.9.self_attn.k_proj/ov_ext::linear/MatMul                                                0.472
__module.model.layers.9.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.9.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.9.self_attn.v_proj/ov_ext::linear/MatMul                                                0.474
__module.model.layers.9.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.9.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.9.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.879
__module.model.layers.9.self_attn/aten::transpose/Transpose_3                                                 0.047
__module.model.layers.9.self_attn/aten::reshape/Reshape_2                                                     0.007
__module.model.layers.9.self_attn.o_proj/ov_ext::linear/MatMul                                                2.054
__module.model.layers.9/aten::add/Add                                                                         0.055
__module.model.layers.9.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
__module.model.layers.9.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.360
__module.model.layers.9.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.9.mlp.up_proj/ov_ext::linear/MatMul                                                     8.610
__module.model.layers.9.mlp/aten::mul/Multiply                                                                0.228
__module.model.layers.9.mlp.down_proj/ov_ext::linear/MatMul                                                   9.976
__module.model.layers.9/aten::add/Add_1                                                                       0.111
__module.model.layers.10.input_layernorm/aten::mul/Multiply_1                                                 0.055
__module.model.layers.10.self_attn.q_proj/ov_ext::linear/MatMul                                               1.981
__module.model.layers.10.self_attn/aten::view/Reshape                                                         0.008
__module.model.layers.10.self_attn/aten::add/Add                                                              0.110
__module.model.layers.10.self_attn.k_proj/ov_ext::linear/MatMul                                               0.529
__module.model.layers.10.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.10.self_attn/aten::add/Add_1                                                            0.043
__module.model.layers.10.self_attn.v_proj/ov_ext::linear/MatMul                                               0.501
__module.model.layers.10.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.10.self_attn/aten::transpose/Transpose_2                                                0.018
__module.model.layers.10.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.987
__module.model.layers.10.self_attn/aten::transpose/Transpose_3                                                0.047
__module.model.layers.10.self_attn/aten::reshape/Reshape_2                                                    0.007
__module.model.layers.10.self_attn.o_proj/ov_ext::linear/MatMul                                               1.896
__module.model.layers.10/aten::add/Add                                                                        0.050
__module.model.layers.10.post_attention_layernorm/aten::mul/Multiply_1                                        0.049
__module.model.layers.10.mlp.gate_proj/ov_ext::linear/MatMul                                                  8.108
__module.model.layers.10.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.10.mlp.up_proj/ov_ext::linear/MatMul                                                    8.375
__module.model.layers.10.mlp/aten::mul/Multiply                                                               0.220
__module.model.layers.10.mlp.down_proj/ov_ext::linear/MatMul                                                  9.656
__module.model.layers.10/aten::add/Add_1                                                                      0.061
__module.model.layers.11.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.11.self_attn.q_proj/ov_ext::linear/MatMul                                               1.979
__module.model.layers.11.self_attn/aten::view/Reshape                                                         0.010
__module.model.layers.11.self_attn/aten::add/Add                                                              0.109
__module.model.layers.11.self_attn.k_proj/ov_ext::linear/MatMul                                               0.530
__module.model.layers.11.self_attn/aten::view/Reshape_1                                                       0.006
__module.model.layers.11.self_attn/aten::add/Add_1                                                            0.033
__module.model.layers.11.self_attn.v_proj/ov_ext::linear/MatMul                                               0.455
__module.model.layers.11.self_attn/aten::view/Reshape_2                                                       0.006
__module.model.layers.11.self_attn/aten::transpose/Transpose_2                                                0.015
__module.model.layers.11.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.889
__module.model.layers.11.self_attn/aten::transpose/Transpose_3                                                0.046
__module.model.layers.11.self_attn/aten::reshape/Reshape_2                                                    0.007
__module.model.layers.11.self_attn.o_proj/ov_ext::linear/MatMul                                               1.804
__module.model.layers.11/aten::add/Add                                                                        0.056
__module.model.layers.11.post_attention_layernorm/aten::mul/Multiply_1                                        0.046
__module.model.layers.11.mlp.gate_proj/ov_ext::linear/MatMul                                                  8.230
__module.model.layers.11.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.11.mlp.up_proj/ov_ext::linear/MatMul                                                    8.241
__module.model.layers.11.mlp/aten::mul/Multiply                                                               0.211
__module.model.layers.11.mlp.down_proj/ov_ext::linear/MatMul                                                  9.981
__module.model.layers.11/aten::add/Add_1                                                                      0.062
__module.model.layers.12.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.12.self_attn.q_proj/ov_ext::linear/MatMul                                               1.961
__module.model.layers.12.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.12.self_attn/aten::add/Add                                                              0.090
__module.model.layers.12.self_attn.k_proj/ov_ext::linear/MatMul                                               0.452
__module.model.layers.12.self_attn/aten::view/Reshape_1                                                       0.006
__module.model.layers.12.self_attn/aten::add/Add_1                                                            0.031
__module.model.layers.12.self_attn.v_proj/ov_ext::linear/MatMul                                               0.460
__module.model.layers.12.self_attn/aten::view/Reshape_2                                                       0.008
__module.model.layers.12.self_attn/aten::transpose/Transpose_2                                                0.015
__module.model.layers.12.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.894
__module.model.layers.12.self_attn/aten::transpose/Transpose_3                                                0.047
__module.model.layers.12.self_attn/aten::reshape/Reshape_2                                                    0.007
__module.model.layers.12.self_attn.o_proj/ov_ext::linear/MatMul                                               1.992
__module.model.layers.12/aten::add/Add                                                                        0.054
__module.model.layers.12.post_attention_layernorm/aten::mul/Multiply_1                                        0.048
__module.model.layers.12.mlp.gate_proj/ov_ext::linear/MatMul                                                  8.218
__module.model.layers.12.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.12.mlp.up_proj/ov_ext::linear/MatMul                                                    7.999
__module.model.layers.12.mlp/aten::mul/Multiply                                                               0.221
__module.model.layers.12.mlp.down_proj/ov_ext::linear/MatMul                                                  9.625
__module.model.layers.12/aten::add/Add_1                                                                      0.067
__module.model.layers.13.input_layernorm/aten::mul/Multiply_1                                                 0.052
__module.model.layers.13.self_attn.q_proj/ov_ext::linear/MatMul                                               2.078
__module.model.layers.13.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.13.self_attn/aten::add/Add                                                              0.088
__module.model.layers.13.self_attn.k_proj/ov_ext::linear/MatMul                                               0.465
__module.model.layers.13.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.13.self_attn/aten::add/Add_1                                                            0.031
__module.model.layers.13.self_attn.v_proj/ov_ext::linear/MatMul                                               0.490
__module.model.layers.13.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.13.self_attn/aten::transpose/Transpose_2                                                0.014
__module.model.layers.13.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.924
__module.model.layers.13.self_attn/aten::transpose/Transpose_3                                                0.045
__module.model.layers.13.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.13.self_attn.o_proj/ov_ext::linear/MatMul                                               1.895
__module.model.layers.13/aten::add/Add                                                                        0.050
__module.model.layers.13.post_attention_layernorm/aten::mul/Multiply_1                                        0.048
__module.model.layers.13.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.866
__module.model.layers.13.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.13.mlp.up_proj/ov_ext::linear/MatMul                                                    8.455
__module.model.layers.13.mlp/aten::mul/Multiply                                                               0.216
__module.model.layers.13.mlp.down_proj/ov_ext::linear/MatMul                                                  9.920
